store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
00bcec56-84f9-4a91-a3b8-c63ba60c69fe,60.0,0.0,14.268859,0.230863,100.583061,0.750345
03d6ef9e-9da3-4c40-81a8-76b698c58af1,60.0,0.0,23.983333,0.0,167.7182,0.0
239ae42b-d4c4-4aab-bff9-c64f4feebd9e,0.0,60.0,0.0,13.0,0.0,89.833991
37b4716e-f78c-48f5-84c7-fec6306ac541,0.0,60.0,0.0,23.999722,0.0,167.830943
fc43d054-ffa2-4715-a461-cbf250119994,60.0,0.0,7.5,0.0,61.653502,13.178836
d289d61a-d4f3-4851-82ca-f8ac35d3abb8,60.0,0.0,10.005995,0.327339,69.68288,2.149131
d8c80705-de1b-419a-8e0d-86bb34d29bff,0.0,60.0,0.0,12.999722,0.0,84.330647
14e34985-6519-489f-abcc-9f8923812fa9,0.0,60.0,0.0,23.999722,0.0,144.828805
9876f2cb-3fbf-4b70-acb6-7393bf5999d6,60.0,0.0,8.826519,4.173203,59.75736,24.57227
5c9fda51-136b-4e7b-9cd5-0c940725440f,60.0,0.0,8.82741,4.172312,59.75006,24.57841
a3fed5bd-fb0c-47bd-a021-f11c62a0ab73,0.0,60.0,0.0,12.983333,0.0,93.809944
f4f360c8-b869-4836-aad5-41ef26021c1b,0.0,60.0,0.0,10.333333,0.0,71.827282
da1dce88-55df-4960-a34e-9258c92d1a41,60.0,0.0,14.903147,0.096575,114.158138,0.666399
b406b00c-a9b9-42d7-99b0-7c42474ebd77,60.0,0.0,14.282256,0.217466,100.532401,0.792051
1fb33b77-bfbf-42a4-b023-6a218bf30fc4,0.0,60.0,0.0,12.999722,0.0,84.325258
80f77772-530c-4d2a-aa43-58aa1f75ab15,60.0,0.0,7.51127,0.23873,68.594017,1.480181
ead054c4-5290-4e3c-a84f-626f0f029902,0.0,60.0,0.0,14.999722,0.0,104.82199
4689758e-5f3a-46a7-abc6-da2f8f180865,60.0,0.0,7.510549,0.239451,69.24118,0.831868
8e2e0717-e61c-40a5-b3cd-28e5a5de701a,0.0,60.0,0.0,12.983333,0.0,90.705378
b935c05c-fbb6-4501-9f9a-1d4030d9082f,60.0,0.0,11.896147,0.103853,85.076173,0.712042
ae7324cb-f34d-438c-bb48-a3367a3983b3,60.0,0.0,23.999722,0.0,167.819345,0.0
578ee20a-a385-4ca5-96d3-4c697d0362d4,0.0,60.0,0.0,23.999722,0.0,107.319147
365c2d0d-3d07-4ac1-8fe5-a306142e94be,60.0,0.0,7.529112,0.220888,69.234291,0.835295
790410e1-c253-4421-aade-177dab7574c6,0.0,60.0,0.0,12.0,0.0,85.785561
120fa506-2c40-4955-b9a4-f128824ee294,0.0,60.0,0.0,12.999722,0.0,84.317557
a0c119ad-b6c1-4488-89b7-bf93c24875e4,0.0,60.0,0.0,12.999722,0.0,102.815635
244d84a4-dc9a-46ae-b1e6-2e590732ce14,0.0,60.0,0.0,12.983333,0.0,93.7984
850c3070-bd8d-44e9-938b-da8a95233be1,60.0,0.0,18.895726,0.103996,132.012714,0.800781
66b6029c-5a29-4330-99f9-1c2c39e2dee7,0.0,60.0,0.0,11.5,0.0,80.315376
5de1dfd5-1f1e-460a-91f6-71c72ce4d3ba,0.0,60.0,0.0,12.983333,0.0,93.796398
7043d081-a76a-43ce-b002-d5fb963fe39f,0.0,60.0,0.0,12.0,0.0,94.31266
3f32e8b5-2303-477b-9ef0-6a52dd9a1891,0.0,60.0,0.0,23.999722,0.0,107.3126
70a30f8a-6bfd-41c6-bc86-4ca3417c4546,0.0,60.0,0.0,14.999722,0.0,104.810263
f561fb54-96ef-482f-9cc5-18ecfc64cc0d,60.0,0.0,14.885721,0.114002,114.032751,0.77673
f773aa22-eac6-48d5-a77d-d004d5834fee,0.0,60.0,0.0,18.999722,0.0,132.809436
13a15f2a-f366-4061-a6d3-6f04820c7609,0.0,60.0,0.0,14.499722,0.0,101.308299
0635382c-90bb-4fc0-ad07-1fd196e03aab,0.0,60.0,0.0,14.999722,0.0,104.807199
4fa5cfbf-8ab1-4607-b4cc-949980403e05,0.0,60.0,0.0,23.999722,35.045729,72.262441
0eb76f7a-284b-4d02-8a21-c35ceefaeced,0.0,60.0,0.0,11.5,0.0,82.291472
ada61de6-ae55-41ac-afca-afe767d44fde,0.0,60.0,0.0,8.0,0.0,67.80685
